Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Jan. 11, 2021","Jan. 11, 2021",Run,231,3.008459393,993,5.503012408,0.479435099,10.90311248,125.1474175,168,2625,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5332524772
"Jan. 10, 2021","Jan. 10, 2021",Run,399,5.201946985,1733,5.552728317,0.090600269,10.80550577,662.2514934,185,4577,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5327587984
"Jan. 6, 2021","Jan. 6, 2021",Run,327,4.135981893,1504,6.057381144,0.120254588,9.905270918,498.9400923,169,3940,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5295761698
"Jan. 4, 2021","Jan. 4, 2021",Run,310,4.031535468,1308,5.406016364,0.512930113,11.09874434,116.9750077,172,3463,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5269877158
"Dec. 31, 2020","Dec. 31, 2020",Walk,54,0.915277385,619,11.27192198,2.34867126,5.32295356,25.54640479,0,1180,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5226865363
"Dec. 31, 2020","Dec. 31, 2020",Run,498,6.494910048,2169,5.565174382,0.508733993,10.78133342,117.9398094,0,5727,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5226831922
"Dec. 29, 2020","Dec. 29, 2020",Run,527,6.631108831,2436,6.121985107,0.575273528,9.800744026,104.298205,0,6377,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5220698434
"Dec. 25, 2020","Dec. 25, 2020",Run,712,8.730836041,3423,6.531853973,0.656565657,9.185765403,91.3849897,0,8912,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5194391014
"Dec. 23, 2020","Dec. 23, 2020",Run,637,7.667413713,3357,7.297942516,0.686055933,8.221478665,87.45642006,0,8665,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5185849354
"Dec. 18, 2020","Dec. 18, 2020",Run,382,4.919861169,1705,5.772706146,0.250414455,10.39373901,239.6023534,0,4486,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5153661064
"Dec. 15, 2020","Dec. 15, 2020",Run,295,3.709505733,1370,6.152817546,0.453431957,9.751626847,132.3241261,0,3585,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5133817315
"Dec. 13, 2020","Dec. 13, 2020",Run,471,6.128575073,2053,5.57996923,0.334411412,10.75275147,179.4193252,0,5419,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5120387317
"Dec. 11, 2020","Dec. 11, 2020",Run,387,5.016534463,1705,5.661238368,0.496185402,10.59838319,120.9225676,0,4494,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5108639260
"Dec. 4, 2020","Dec. 4, 2020",Run,316,4.017630735,1441,5.975969091,0.478582578,10.04021441,125.3701507,169,3780,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5067284185
"Dec. 2, 2020","Dec. 2, 2020",Run,278,3.586809347,1226,5.700453104,0.114006079,10.52547991,526.2892842,0,3230,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5058130948
"Dec. 2, 2020","Nov. 26, 2020",Run,458,5.745422454,2125,6.162989392,0.594377585,9.735533407,100.9459415,0,5559,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/5058093970
"Nov. 16, 2020","Nov. 16, 2020",Run,235,3.054888968,1028,5.608341038,0.5327183,10.69835564,112.6299398,189,2712,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4958496763
"Nov. 16, 2020","Nov. 14, 2020",Bike Ride,837,35.40234931,9570,4.505307753,0.203129971,13.31762738,295.3773884,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4958425651
"Nov. 9, 2020","Nov. 9, 2020",Run,375,4.850015639,1661,5.705691263,0.702845383,10.51582385,85.36700874,0,4375,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4864308310
"Nov. 6, 2020","Nov. 6, 2020",Run,248,3.169683475,1111,5.844114124,0.561008088,10.26674567,106.9504039,0,2920,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4836375589
"Nov. 6, 2020","Oct. 25, 2020",Hike,1678,9.46645109,10957,19.29009584,0.555543128,3.110411336,108.0024321,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4836375931
"Oct. 24, 2020","Oct. 24, 2020",Hike,531,3.086593044,3466,18.71377406,10.8094354,3.206199491,5.550707923,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4786957252
"Oct. 24, 2020","Oct. 24, 2020",Hike,1083,3.475635863,7072,33.90878519,3.860088334,1.769457635,15.54368809,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4786659871
"Oct. 21, 2020","Oct. 21, 2020",Run,239,3.035721681,1092,5.994933339,0.7622174,10.00844596,78.7175212,0,2864,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4778199424
"Oct. 19, 2020","Oct. 19, 2020",Run,273,3.45864119,1244,5.988725841,0.659392895,10.01882623,90.99263163,0,3262,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4772514172
"Oct. 7, 2020","Oct. 7, 2020",Run,258,3.29003022,1162,5.879718693,0.584476035,10.20456062,102.6560304,0,3052,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4738751074
"Oct. 2, 2020","Oct. 2, 2020",Run,395,5.063301999,1769,5.820955619,0.166951876,10.30759082,359.3858273,0,4651,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4723183408
"Sept. 22, 2020","Sept. 22, 2020",Run,274,3.437478317,1268,6.148088911,0.69688022,9.75912639,86.09813372,162,3318,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4694573920
"Sept. 21, 2020","Sept. 21, 2020",Run,467,5.858366216,2168,6.164343981,0.710059503,9.733392979,84.49973326,0,5672,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4691284723
"Sept. 19, 2020","Sept. 19, 2020",Hike,491,2.473207672,3204,21.59252466,0.51598291,2.778741631,116.2829898,99,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4686364660
"Sept. 15, 2020","Sept. 15, 2020",Run,401,5.018787544,1864,6.189024845,0.592875731,9.694591695,101.2016662,149,4875,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4674941299
